product_name,category,total_revenue,units_sold,avg_price
Key Laptop,Electronics,836509.55,251,3546.9822727272726
Might Education,Books,764052.58,266,3103.372
Hot Mobile,Electronics,709087.36,281,2668.760909090909
Rise Education,Books,669529.98,157,4606.33
Campaign Mobile,Electronics,666020.91,238,3011.0421951219514
Window Jeans,Clothing,642071.53,143,4886.39
Commercial Education,Books,639821.52,143,4825.2
Eat Furniture,Home & Kitchen,624011.4,150,4473.2
Hand Fitness,Sports,618276.86,158,4228.98
Marriage Mobile,Electronics,613721.65,132,4995.7
