year_month,total_revenue,total_transactions,average_order_value,unique_customers
2024-01,11415497.21,835,4577.184125902165,546
2024-02,10965893.88,798,4611.393557611438,535
2024-03,11652829.24,828,4571.529713613181,569
2024-04,11034023.39,791,4643.949238215489,538
2024-05,11708192.02,851,4569.942240437158,579
2024-06,12274481.08,879,4602.355110611174,566
2024-07,11389926.48,819,4590.861136638452,578
2024-08,11088679.26,830,4524.144944920441,564
2024-09,11465345.5,837,4510.364083398898,568
2024-10,11837087.41,891,4549.226521906226,602
2024-11,12031079.76,854,4583.26848,554
2024-12,10888402.8,787,4576.882219419925,535
