state,total_revenue,total_customers,avg_revenue_per_customer
California,4271105.63,28,152539.49
Oregon,4078010.34,27,151037.42
New Mexico,3980182.52,27,147414.17
South Dakota,3695027.78,25,147801.11
Vermont,3663058.67,25,146522.35
Wyoming,3635493.06,23,158064.92
Montana,3612776.63,24,150532.36
Maine,3580949.39,27,132627.76
Delaware,3305420.37,25,132216.81
Arkansas,3275074.44,23,142394.54
Mississippi,3259983.45,26,125383.98
Iowa,3259631.58,23,141723.11
Indiana,3243129.74,22,147414.99
Hawaii,3185999.71,24,132749.99
South Carolina,3070354.62,22,139561.57
Washington,2994421.93,23,130192.26
Texas,2992314.05,21,142491.15
Wisconsin,2906829.5,23,126383.89
Ohio,2857570.79,23,124242.21
Rhode Island,2758227.62,21,131344.17
Nebraska,2745053.15,20,137252.66
Missouri,2736101.94,19,144005.37
Alabama,2728637.16,19,143612.48
Oklahoma,2694325.39,20,134716.27
Connecticut,2677467.54,18,148748.2
North Carolina,2641969.02,21,125808.05
Pennsylvania,2624607.79,21,124981.32
Kentucky,2591362.28,21,123398.2
Colorado,2578019.59,18,143223.31
Utah,2553522.64,19,134395.93
Illinois,2550498.81,20,127524.94
New Hampshire,2546300.89,20,127315.04
Maryland,2486250.92,16,155390.68
North Dakota,2458172.77,19,129377.51
New Jersey,2433964.48,18,135220.25
Massachusetts,2409906.37,15,160660.42
Arizona,2380504.25,16,148781.52
West Virginia,2372651.75,20,118632.59
Georgia,2370811.14,17,139459.48
Tennessee,2325542.04,15,155036.14
Alaska,2230050.42,17,131179.44
New York,2171270.64,18,120626.15
Florida,2162771.85,17,127221.87
Minnesota,2136667.08,12,178055.59
Idaho,2000695.95,15,133379.73
Nevada,1993101.68,17,117241.28
Kansas,1787565.63,14,127683.26
Virginia,1678601.97,13,129123.23
Louisiana,1558829.34,11,141711.76
Michigan,1500651.73,12,125054.31
