product_name,category,total_profit,profit_margin,revenue,units_sold
Hot Mobile,Electronics,208785.48,29.44,709087.36,281
Window Jeans,Clothing,205116.44,31.95,642071.53,143
Institution Fitness,Sports,204566.94,33.58,609134.88,142
Discussion Fitness,Sports,189149.76,33.09,571552.56,130
Gas Dress,Clothing,187569.51,30.59,613185.06,141
Life Outdoor,Sports,185818.04,33.43,555919.68,122
Body Fitness,Sports,179519.92,34.37,522281.82,130
Campaign Mobile,Electronics,179407.49,26.94,666020.91,238
Court Fitness,Sports,178208.71,35.01,509021.11,120
Deal Shirt,Clothing,175365.97,33.78,519161.75,218
Central Headphones,Electronics,172730.67,31.2,553615.1,127
Cover Laptop,Electronics,160914.26,29.43,546730.04,129
Same Skincare,Beauty,155637.93,34.38,452650.65,101
Open Furniture,Home & Kitchen,154601.92,31.48,491096.32,110
With Jeans,Clothing,149517.61,31.54,473999.21,139
Study Fiction,Books,148114.44,34.32,431614.72,98
Option Headphones,Electronics,147021.2,27.27,539173.54,228
Campaign Cookware,Home & Kitchen,143967.12,29.01,496306.16,152
Kitchen Shirt,Clothing,143768.22,35.29,407349.6,138
Thought Outdoor,Sports,142885.87,25.31,564456.11,124
Might Education,Books,142735.1,18.68,764052.58,266
Authority Fiction,Books,142665.76,26.73,533684.51,125
Child Cookware,Home & Kitchen,142322.63,32.27,440973.19,104
Goal Jeans,Clothing,141979.84,25.33,560454.16,132
Project Fiction,Books,141687.36,30.28,467934.26,139
Western Skincare,Beauty,141081.53,27.74,508602.53,132
Ability Jeans,Clothing,140960.2,26.69,528179.4,136
History Jeans,Clothing,140181.85,30.55,458904.01,124
Cost Fiction,Books,140051.01,30.81,454527.01,100
Take Education,Books,139299.71,34.42,404664.57,109
Wait Jeans,Clothing,139196.77,25.87,538021.69,124
Day Makeup,Beauty,138343.07,34.05,406262.33,98
Have Outdoor,Sports,138312.93,30.52,453180.21,156
Commercial Education,Books,136866.21,21.39,639821.52,143
Reach Education,Books,136594.97,29.06,470091.89,127
Stand Makeup,Beauty,136313.2,34.97,389796.48,124
Financial Laptop,Electronics,135682.69,34.42,394222.61,97
Walk Education,Books,134345.2,28.05,478989.94,153
Financial Furniture,Home & Kitchen,134019.03,27.95,479540.31,127
Key Laptop,Electronics,133425.9,15.95,836509.55,251
Science Education,Books,132992.16,31.49,422266.88,112
Whole Outdoor,Sports,131599.29,26.49,496818.62,119
Environment Furniture,Home & Kitchen,131537.91,29.51,445680.57,102
This Education,Books,130956.85,28.09,466175.25,110
Huge Makeup,Beauty,130548.55,26.69,489177.24,107
Measure Education,Books,129736.05,31.06,417667.75,133
Example Shirt,Clothing,129179.62,27.98,461751.56,146
Citizen Fitness,Sports,128152.4,27.75,461751.6,110
Success Jeans,Clothing,127700.94,27.99,456197.24,110
Draw Shirt,Clothing,127644.3,30.01,425396.3,112
Difficult Mobile,Electronics,127398.81,22.94,555256.77,123
Employee Jeans,Clothing,126732.73,28.92,438217.21,114
Agent Makeup,Beauty,124493.88,26.9,462847.72,124
Add Shirt,Clothing,123996.21,25.21,491888.65,109
Those Mobile,Electronics,123976.55,30.42,407559.05,125
During Education,Books,123770.87,32.0,386734.67,135
Recently Outdoor,Sports,123150.17,23.76,518328.89,114
Charge Education,Books,122805.71,22.72,540627.01,130
From Mobile,Electronics,122695.4,25.95,472830.89,131
Economic Education,Books,122534.83,31.08,394245.79,138
A Fiction,Books,121731.36,30.32,401430.12,132
Able Makeup,Beauty,117830.55,29.26,402713.72,113
Public Fiction,Books,117714.88,32.43,362968.44,118
Charge Fiction,Books,117699.96,30.12,390785.67,149
Baby Laptop,Electronics,117421.14,25.48,460879.02,118
Tree Jeans,Clothing,117137.93,20.17,580726.52,129
Process Fitness,Sports,116177.43,31.31,370996.14,81
Both Fitness,Sports,116117.29,33.59,345682.09,96
Strategy Dress,Clothing,115682.99,29.75,388802.01,97
Day Fiction,Books,115628.38,23.47,492677.98,120
Wide Furniture,Home & Kitchen,115450.38,26.63,433542.88,110
Series Mobile,Electronics,115263.03,32.65,352991.85,141
Measure Makeup,Beauty,114578.61,34.93,328008.75,126
Minute Dress,Clothing,114366.98,29.96,381725.09,101
Which Furniture,Home & Kitchen,112722.69,26.21,430029.45,106
Age Education,Books,112273.23,21.39,524951.63,160
Begin Fitness,Sports,112135.6,29.69,377641.6,100
Prepare Mobile,Electronics,111908.08,25.89,432180.06,133
Marriage Mobile,Electronics,111259.69,18.13,613721.65,132
Interesting Outdoor,Sports,111133.9,29.23,380265.95,127
Everybody Outdoor,Sports,110069.73,29.1,378280.23,150
Hand Fitness,Sports,109617.98,17.73,618276.86,158
Professor Outdoor,Sports,109010.46,21.76,501031.71,107
Question Mobile,Electronics,108051.6,20.91,516711.54,117
Administration Headphones,Electronics,108036.17,29.82,362340.17,144
Class Skincare,Beauty,107984.29,34.47,313293.42,109
Election Fitness,Sports,107897.37,29.38,367219.02,105
Little Skincare,Beauty,107686.88,19.34,556704.26,126
If Skincare,Beauty,107635.56,27.0,398644.6,122
Evening Laptop,Electronics,107014.92,24.23,441579.28,148
Rise Education,Books,106380.4,15.89,669529.98,157
Standard Dress,Clothing,105959.95,32.1,330082.83,128
Admit Fiction,Books,105538.72,23.75,444426.46,118
Yet Makeup,Beauty,105514.16,31.82,331611.44,144
Lawyer Makeup,Beauty,105087.72,26.73,393115.05,129
With Fitness,Sports,104205.08,24.69,422014.81,119
Dog Shirt,Clothing,104140.82,22.94,453875.59,121
Suddenly Fiction,Books,104119.78,21.22,490580.74,116
Cover Cookware,Home & Kitchen,103040.02,22.62,455605.38,122
Bill Outdoor,Sports,102982.5,18.39,559911.4,146
Model Furniture,Home & Kitchen,102925.76,30.28,339900.76,125
Nearly Fiction,Books,102804.52,34.68,296460.0,122
Fall Headphones,Electronics,102568.02,17.92,572501.04,127
Put Fiction,Books,100932.95,27.3,369728.62,143
Site Mobile,Electronics,100901.94,28.1,359082.61,109
Laugh Education,Books,99653.14,26.18,380652.78,106
Lot Headphones,Electronics,99607.06,18.14,549037.06,120
Father Furniture,Home & Kitchen,98487.02,25.6,384662.0,126
Million Outdoor,Sports,97910.89,31.92,306781.41,146
Buy Headphones,Electronics,97846.66,33.23,294452.36,94
System Jeans,Clothing,97298.12,20.54,473751.56,144
Keep Shirt,Clothing,96583.54,24.25,398326.94,140
Region Laptop,Electronics,96112.64,26.12,367999.84,104
Billion Laptop,Electronics,95480.47,31.12,306809.47,90
Set Outdoor,Sports,95026.87,15.64,607756.17,139
New Fitness,Sports,93701.16,20.03,467747.7,133
Else Makeup,Beauty,93686.62,21.74,430972.82,124
Lot Shirt,Clothing,92913.04,29.54,314541.89,215
Owner Outdoor,Sports,92911.64,32.37,287020.94,110
Threat Furniture,Home & Kitchen,92770.19,28.63,324070.36,139
More Cookware,Home & Kitchen,92667.12,22.46,412571.64,129
Change Fitness,Sports,92654.44,22.68,408519.64,124
Car Skincare,Beauty,92224.48,16.85,547297.28,140
Eat Furniture,Home & Kitchen,92010.9,14.75,624011.4,150
Bad Outdoor,Sports,91106.45,18.1,503232.41,116
Pressure Headphones,Electronics,91066.42,21.62,421283.44,126
Trade Skincare,Beauty,90649.47,20.74,437039.65,118
Upon Furniture,Home & Kitchen,87990.87,19.67,447388.59,141
Same Makeup,Beauty,87091.68,17.97,484722.4,128
Hope Cookware,Home & Kitchen,86797.38,24.75,350705.28,97
Leave Fitness,Sports,86475.18,28.09,307881.82,119
Build Fitness,Sports,86446.6,18.61,464423.95,101
Visit Fiction,Books,86421.04,28.25,305904.22,129
Increase Dress,Clothing,86411.04,30.48,283478.9,121
List Makeup,Beauty,86394.64,31.67,272799.94,135
Brother Dress,Clothing,86242.38,33.19,259805.62,103
Very Cookware,Home & Kitchen,85875.24,25.27,339876.32,142
Action Mobile,Electronics,85404.19,31.68,269571.97,127
Point Makeup,Beauty,85279.99,18.56,459597.95,122
Kid Education,Books,84260.95,20.6,408934.75,110
Low Outdoor,Sports,84134.29,24.49,343593.7,147
Modern Skincare,Beauty,84109.85,22.41,375318.09,94
Write Fitness,Sports,83720.24,25.07,333950.8,116
Health Jeans,Clothing,82595.13,28.48,289989.09,131
Fish Furniture,Home & Kitchen,81318.12,20.16,403309.01,151
Not Skincare,Beauty,79763.48,21.21,376150.58,135
Another Shirt,Clothing,79627.56,34.12,233379.76,145
Picture Cookware,Home & Kitchen,79194.57,20.07,394585.25,101
Just Outdoor,Sports,78793.26,29.51,267047.34,96
Than Mobile,Electronics,78500.19,17.27,454552.86,137
Reveal Makeup,Beauty,78372.93,17.63,444462.83,110
Growth Fitness,Sports,78300.17,18.86,415087.17,110
Score Outdoor,Sports,77953.84,27.25,286120.54,102
Drive Furniture,Home & Kitchen,77859.31,29.48,264152.19,106
Hour Headphones,Electronics,77243.19,17.44,442877.55,117
Task Dress,Clothing,74145.02,15.79,469491.98,103
Citizen Jeans,Clothing,73864.11,22.75,324649.51,118
Win Education,Books,73725.92,20.25,364167.66,122
Property Furniture,Home & Kitchen,73717.05,17.2,428654.57,113
Very Jeans,Clothing,73528.33,31.67,232154.55,118
Great Makeup,Beauty,73381.3,22.44,327015.34,132
These Fitness,Sports,73180.25,21.73,336776.89,89
Until Fiction,Books,72864.63,16.95,429837.33,105
Call Education,Books,72234.91,19.86,363682.91,136
Back Fiction,Books,71449.63,16.39,436058.83,102
Life Fiction,Books,71301.93,21.94,324927.28,127
Respond Shirt,Clothing,70450.05,22.54,312595.33,104
Dark Shirt,Clothing,70291.3,30.63,229458.1,130
Sit Outdoor,Sports,70043.34,28.22,248185.96,103
Worker Laptop,Electronics,69838.22,22.03,316973.0,153
Girl Furniture,Home & Kitchen,69352.35,17.59,394246.47,118
Win Dress,Clothing,68745.0,19.53,352014.0,98
Short Mobile,Electronics,68610.15,11.87,577922.61,138
Development Furniture,Home & Kitchen,68103.16,25.63,265680.52,199
Speech Education,Books,67856.69,22.28,304529.69,100
Present Skincare,Beauty,67784.68,26.36,257117.67,131
Buy Dress,Clothing,67421.17,25.48,264555.52,147
Eight Education,Books,66946.28,22.78,293869.13,111
Herself Makeup,Beauty,66766.67,22.88,291768.11,123
Real Education,Books,66427.07,24.59,270153.56,121
Drive Laptop,Electronics,66350.58,23.37,283883.49,113
Sister Makeup,Beauty,66304.09,30.65,216351.91,117
Choice Makeup,Beauty,66238.15,23.11,286637.59,106
Pressure Makeup,Beauty,66033.25,16.02,412066.72,129
Past Shirt,Clothing,65534.52,19.95,328484.39,113
Society Fiction,Books,65511.65,22.01,297613.5,85
Fire Fiction,Books,65486.04,14.17,462170.08,116
Admit Outdoor,Sports,65294.26,33.22,196563.82,122
Management Headphones,Electronics,65036.24,22.26,292128.7,119
Seem Outdoor,Sports,64905.77,17.61,368664.37,127
Fact Furniture,Home & Kitchen,64568.17,14.03,460361.37,110
On Fitness,Sports,64538.4,13.14,491036.16,144
Reality Laptop,Electronics,64317.34,20.0,321579.54,130
Artist Jeans,Clothing,64214.48,14.52,442370.1,137
Table Headphones,Electronics,64104.76,10.71,598478.86,130
Will Fitness,Sports,63453.45,30.1,210801.45,100
Determine Fiction,Books,62220.97,25.13,247573.63,106
Recognize Fiction,Books,61621.78,15.69,392815.93,135
Environmental Shirt,Clothing,61525.43,15.73,391043.63,110
Must Cookware,Home & Kitchen,61414.39,13.85,443421.19,126
Say Cookware,Home & Kitchen,61389.37,22.4,274109.91,146
Reason Outdoor,Sports,60331.11,12.76,472964.13,123
Very Dress,Clothing,60303.77,17.45,345515.57,108
State Laptop,Electronics,60057.61,18.14,331016.92,107
Center Outdoor,Sports,59928.83,25.22,237618.78,149
Choose Laptop,Electronics,59322.12,24.24,244717.44,99
Nice Makeup,Beauty,59275.29,21.88,270969.49,116
Account Fitness,Sports,59196.58,10.8,547912.08,130
All Outdoor,Sports,59046.59,19.21,307341.39,130
May Makeup,Beauty,58891.5,13.27,443657.05,127
Try Fitness,Sports,58871.02,12.92,455493.66,151
Eight Fiction,Books,58561.05,13.76,425499.93,96
Kid Fiction,Books,58107.95,14.04,413890.35,128
Training Makeup,Beauty,57468.46,24.62,233395.72,134
White Shirt,Clothing,57355.37,12.94,443346.53,116
Role Jeans,Clothing,57293.86,25.6,223779.38,116
Must Jeans,Clothing,56903.55,12.83,443657.52,111
Day Shirt,Clothing,56765.82,10.0,567896.38,137
Sit Laptop,Electronics,56584.17,17.47,323922.15,114
Dream Shirt,Clothing,56360.52,21.49,262312.17,131
Performance Skincare,Beauty,55613.43,25.45,218492.04,107
Director Fitness,Sports,55565.74,26.23,211816.58,116
Force Outdoor,Sports,55516.09,26.92,206215.09,150
Animal Cookware,Home & Kitchen,55123.28,17.42,316440.56,112
Eye Jeans,Clothing,54821.15,14.36,381891.8,141
Partner Furniture,Home & Kitchen,54217.71,29.64,182929.79,133
Visit Furniture,Home & Kitchen,54127.43,13.28,407582.23,115
Lose Headphones,Electronics,54062.36,19.93,271237.19,111
Election Cookware,Home & Kitchen,53806.69,10.4,517342.78,141
News Skincare,Beauty,53766.9,18.03,298168.5,118
Consumer Education,Books,53722.1,23.19,231617.9,115
Anything Mobile,Electronics,53644.81,26.24,204403.11,110
Meet Fitness,Sports,53419.18,12.94,412754.9,89
Hear Cookware,Home & Kitchen,52681.06,23.24,226728.62,116
Him Fitness,Sports,52452.08,12.42,422418.88,140
Growth Education,Books,52418.47,11.7,447904.87,120
Recently Jeans,Clothing,52384.43,13.47,388889.63,120
Summer Makeup,Beauty,52337.14,21.38,244774.12,142
Many Headphones,Electronics,52162.71,31.28,166783.13,113
Act Makeup,Beauty,52161.1,30.12,173165.05,145
Industry Mobile,Electronics,51232.12,29.45,173977.12,150
Yourself Laptop,Electronics,51079.14,26.45,193096.9,122
Have Mobile,Electronics,51066.62,33.83,150967.97,135
Window Fiction,Books,50663.06,35.09,144397.04,141
Window Education,Books,50519.21,14.78,341757.49,134
Population Mobile,Electronics,50475.97,32.19,156811.75,114
Both Outdoor,Sports,50397.46,9.94,506925.78,124
Listen Fitness,Sports,50245.34,34.97,143667.1,116
Structure Education,Books,50206.52,30.62,163946.04,136
Training Furniture,Home & Kitchen,50124.93,17.04,294125.77,82
Idea Jeans,Clothing,50109.75,9.52,526619.63,131
