item_id,transaction_id,product_id,quantity,unit_price,discount_percentage,line_total
ITEM00001,TXN00001,PROD0175,3,2584.51,10,6978.18
ITEM00002,TXN00001,PROD0347,2,2135.17,5,4056.82
ITEM00003,TXN00001,PROD0415,3,1973.08,15,5031.35
ITEM00004,TXN00001,PROD0008,3,2050.37,10,5536.0
ITEM00005,TXN00001,PROD0108,2,3438.61,5,6533.36
ITEM00006,TXN00002,PROD0023,2,3364.59,15,5719.8
ITEM00007,TXN00002,PROD0290,2,2001.85,15,3403.14
ITEM00008,TXN00002,PROD0203,1,3892.6,0,3892.6
ITEM00009,TXN00002,PROD0042,3,892.48,15,2275.82
ITEM00010,TXN00003,PROD0265,1,473.65,15,402.6
ITEM00011,TXN00004,PROD0399,1,3898.02,15,3313.32
ITEM00012,TXN00005,PROD0007,2,1547.77,15,2631.21
ITEM00013,TXN00005,PROD0466,1,814.73,5,773.99
ITEM00014,TXN00005,PROD0093,3,4395.24,15,11207.86
ITEM00015,TXN00005,PROD0146,2,3615.69,5,6869.81
ITEM00016,TXN00006,PROD0157,2,2756.31,5,5236.99
ITEM00017,TXN00007,PROD0301,2,3338.14,15,5674.84
ITEM00018,TXN00007,PROD0107,2,4038.31,5,7672.79
ITEM00019,TXN00007,PROD0249,2,1409.11,0,2818.22
ITEM00020,TXN00007,PROD0328,2,542.34,10,976.21
ITEM00021,TXN00007,PROD0032,3,3081.31,5,8781.73
ITEM00022,TXN00008,PROD0046,3,1079.68,0,3239.04
ITEM00023,TXN00008,PROD0238,2,2546.84,0,5093.68
ITEM00024,TXN00009,PROD0384,3,4458.33,0,13374.99
ITEM00025,TXN00009,PROD0164,2,2139.78,5,4065.58
ITEM00026,TXN00010,PROD0118,1,2760.53,15,2346.45
ITEM00027,TXN00010,PROD0317,2,1201.94,15,2043.3
ITEM00028,TXN00010,PROD0089,1,298.97,5,284.02
ITEM00029,TXN00010,PROD0164,2,2139.78,15,3637.63
ITEM00030,TXN00010,PROD0214,3,2851.21,5,8125.95
ITEM00031,TXN00011,PROD0143,3,4846.28,0,14538.84
ITEM00032,TXN00011,PROD0304,2,4154.95,15,7063.41
ITEM00033,TXN00011,PROD0118,3,2760.53,5,7867.51
ITEM00034,TXN00011,PROD0363,1,2380.05,15,2023.04
ITEM00035,TXN00012,PROD0468,3,3589.86,10,9692.62
ITEM00036,TXN00013,PROD0063,3,3723.72,5,10612.6
ITEM00037,TXN00013,PROD0155,1,670.63,10,603.57
ITEM00038,TXN00014,PROD0385,3,3340.68,0,10022.04
ITEM00039,TXN00014,PROD0472,1,2686.16,5,2551.85
ITEM00040,TXN00014,PROD0178,3,1436.22,0,4308.66
ITEM00041,TXN00014,PROD0057,3,4745.4,10,12812.58
ITEM00042,TXN00015,PROD0347,1,2135.17,10,1921.65
ITEM00043,TXN00015,PROD0236,3,4209.73,10,11366.27
ITEM00044,TXN00015,PROD0048,2,1434.31,15,2438.33
ITEM00045,TXN00015,PROD0370,2,881.61,0,1763.22
ITEM00046,TXN00016,PROD0198,3,2344.54,0,7033.62
ITEM00047,TXN00017,PROD0231,3,2278.89,5,6494.84
ITEM00048,TXN00018,PROD0339,1,646.61,5,614.28
ITEM00049,TXN00018,PROD0457,2,973.52,15,1654.98
ITEM00050,TXN00018,PROD0007,1,1547.77,5,1470.38
ITEM00051,TXN00019,PROD0267,3,1738.92,10,4695.08
ITEM00052,TXN00019,PROD0168,3,3088.44,10,8338.79
ITEM00053,TXN00020,PROD0008,1,2050.37,5,1947.85
ITEM00054,TXN00021,PROD0029,2,1187.95,15,2019.52
ITEM00055,TXN00021,PROD0330,3,4624.24,15,11791.81
ITEM00056,TXN00022,PROD0431,1,651.48,15,553.76
ITEM00057,TXN00022,PROD0338,3,789.29,5,2249.48
ITEM00058,TXN00022,PROD0157,2,2756.31,0,5512.62
ITEM00059,TXN00023,PROD0007,3,1547.77,15,3946.81
ITEM00060,TXN00023,PROD0255,1,3985.7,10,3587.13
ITEM00061,TXN00024,PROD0220,1,794.89,15,675.66
ITEM00062,TXN00025,PROD0438,2,2879.8,10,5183.64
ITEM00063,TXN00025,PROD0026,1,1174.19,5,1115.48
ITEM00064,TXN00025,PROD0380,2,391.56,0,783.12
ITEM00065,TXN00026,PROD0097,1,4608.52,5,4378.09
ITEM00066,TXN00027,PROD0385,1,3340.68,10,3006.61
ITEM00067,TXN00027,PROD0156,1,3010.2,0,3010.2
ITEM00068,TXN00028,PROD0401,1,1087.35,15,924.25
ITEM00069,TXN00029,PROD0015,1,3237.3,15,2751.7
ITEM00070,TXN00029,PROD0045,1,2084.72,10,1876.25
ITEM00071,TXN00030,PROD0183,3,1621.89,0,4865.67
ITEM00072,TXN00030,PROD0126,1,4603.66,0,4603.66
ITEM00073,TXN00031,PROD0495,3,774.07,5,2206.1
ITEM00074,TXN00031,PROD0247,1,3406.88,15,2895.85
ITEM00075,TXN00032,PROD0175,1,2584.51,10,2326.06
ITEM00076,TXN00032,PROD0259,3,3917.11,5,11163.76
ITEM00077,TXN00033,PROD0497,2,3038.49,5,5773.13
ITEM00078,TXN00034,PROD0313,1,3264.29,10,2937.86
ITEM00079,TXN00034,PROD0220,2,794.89,5,1510.29
ITEM00080,TXN00034,PROD0194,2,3414.16,10,6145.49
ITEM00081,TXN00035,PROD0350,2,3450.07,5,6555.13
ITEM00082,TXN00035,PROD0303,1,2163.99,5,2055.79
ITEM00083,TXN00035,PROD0437,3,3444.21,15,8782.74
ITEM00084,TXN00036,PROD0386,1,2502.68,10,2252.41
ITEM00085,TXN00036,PROD0057,1,4745.4,0,4745.4
ITEM00086,TXN00036,PROD0167,2,4582.9,10,8249.22
ITEM00087,TXN00036,PROD0475,3,2258.88,10,6098.98
ITEM00088,TXN00036,PROD0049,1,1539.41,15,1308.5
ITEM00089,TXN00037,PROD0329,1,3150.35,10,2835.32
ITEM00090,TXN00037,PROD0483,3,3261.29,5,9294.68
ITEM00091,TXN00038,PROD0002,2,665.98,15,1132.17
ITEM00092,TXN00039,PROD0160,3,2866.25,10,7738.88
ITEM00093,TXN00040,PROD0245,3,3535.95,5,10077.46
ITEM00094,TXN00040,PROD0029,3,1187.95,0,3563.85
ITEM00095,TXN00040,PROD0356,3,1957.32,10,5284.76
ITEM00096,TXN00040,PROD0146,2,3615.69,15,6146.67
ITEM00097,TXN00041,PROD0162,1,2973.3,0,2973.3
ITEM00098,TXN00041,PROD0286,2,688.92,0,1377.84
ITEM00099,TXN00042,PROD0258,1,2619.96,10,2357.96
ITEM00100,TXN00042,PROD0166,3,2862.99,5,8159.52
ITEM00101,TXN00042,PROD0221,3,360.84,0,1082.52
ITEM00102,TXN00042,PROD0341,3,4764.18,15,12148.66
ITEM00103,TXN00042,PROD0418,3,2569.53,5,7323.16
ITEM00104,TXN00043,PROD0302,2,982.36,10,1768.25
ITEM00105,TXN00043,PROD0406,1,4802.55,0,4802.55
ITEM00106,TXN00044,PROD0391,2,806.45,10,1451.61
ITEM00107,TXN00044,PROD0495,2,774.07,10,1393.33
ITEM00108,TXN00044,PROD0426,3,4744.05,15,12097.33
ITEM00109,TXN00045,PROD0070,3,655.77,0,1967.31
ITEM00110,TXN00045,PROD0300,1,2511.78,10,2260.6
ITEM00111,TXN00045,PROD0406,1,4802.55,15,4082.17
ITEM00112,TXN00045,PROD0247,1,3406.88,0,3406.88
ITEM00113,TXN00046,PROD0245,1,3535.95,10,3182.36
ITEM00114,TXN00046,PROD0428,3,521.95,10,1409.27
ITEM00115,TXN00046,PROD0257,1,4798.5,15,4078.72
ITEM00116,TXN00046,PROD0013,2,2263.89,0,4527.78
ITEM00117,TXN00047,PROD0295,3,2348.68,0,7046.04
ITEM00118,TXN00048,PROD0434,2,3169.92,5,6022.85
ITEM00119,TXN00048,PROD0345,3,1421.5,0,4264.5
ITEM00120,TXN00048,PROD0169,3,3963.93,0,11891.79
ITEM00121,TXN00048,PROD0064,2,3248.92,0,6497.84
ITEM00122,TXN00049,PROD0274,3,4232.94,0,12698.82
ITEM00123,TXN00049,PROD0438,3,2879.8,5,8207.43
ITEM00124,TXN00049,PROD0282,1,230.95,15,196.31
ITEM00125,TXN00050,PROD0163,1,2509.0,5,2383.55
ITEM00126,TXN00051,PROD0385,3,3340.68,15,8518.73
ITEM00127,TXN00051,PROD0098,2,2104.67,15,3577.94
ITEM00128,TXN00052,PROD0492,2,399.49,5,759.03
ITEM00129,TXN00052,PROD0146,3,3615.69,0,10847.07
ITEM00130,TXN00052,PROD0161,3,2076.05,15,5293.93
ITEM00131,TXN00053,PROD0015,1,3237.3,5,3075.43
ITEM00132,TXN00054,PROD0473,3,3943.62,10,10647.77
ITEM00133,TXN00055,PROD0096,2,2493.54,5,4737.73
ITEM00134,TXN00056,PROD0250,3,1152.44,15,2938.72
ITEM00135,TXN00056,PROD0140,2,3805.42,5,7230.3
ITEM00136,TXN00056,PROD0231,2,2278.89,0,4557.78
ITEM00137,TXN00056,PROD0302,2,982.36,5,1866.48
ITEM00138,TXN00057,PROD0354,3,284.72,10,768.74
ITEM00139,TXN00057,PROD0302,1,982.36,15,835.01
ITEM00140,TXN00057,PROD0109,3,3446.84,5,9823.49
ITEM00141,TXN00057,PROD0151,2,3371.98,5,6406.76
ITEM00142,TXN00057,PROD0253,1,3717.09,15,3159.53
ITEM00143,TXN00058,PROD0241,2,1584.15,0,3168.3
ITEM00144,TXN00058,PROD0256,1,2074.33,5,1970.61
ITEM00145,TXN00058,PROD0442,1,1548.44,0,1548.44
ITEM00146,TXN00058,PROD0222,3,2374.69,10,6411.66
ITEM00147,TXN00058,PROD0099,1,2934.16,15,2494.04
ITEM00148,TXN00059,PROD0471,2,4741.08,15,8059.84
ITEM00149,TXN00059,PROD0459,3,3516.27,5,10021.37
ITEM00150,TXN00059,PROD0475,2,2258.88,10,4065.98
ITEM00151,TXN00059,PROD0065,3,3828.38,5,10910.88
ITEM00152,TXN00060,PROD0264,1,3546.47,5,3369.15
ITEM00153,TXN00060,PROD0471,2,4741.08,5,9008.05
ITEM00154,TXN00061,PROD0186,3,3839.75,5,10943.29
ITEM00155,TXN00061,PROD0263,3,2239.68,15,5711.18
ITEM00156,TXN00061,PROD0425,1,1629.99,10,1466.99
ITEM00157,TXN00061,PROD0390,2,2734.76,15,4649.09
ITEM00158,TXN00062,PROD0211,3,3853.97,5,10983.81
ITEM00159,TXN00062,PROD0191,2,961.93,0,1923.86
ITEM00160,TXN00062,PROD0121,3,585.28,15,1492.46
ITEM00161,TXN00063,PROD0451,3,2081.84,15,5308.69
ITEM00162,TXN00063,PROD0444,1,2075.44,5,1971.67
ITEM00163,TXN00063,PROD0270,1,1655.27,10,1489.74
ITEM00164,TXN00063,PROD0376,1,4405.0,10,3964.5
ITEM00165,TXN00063,PROD0284,1,2420.24,5,2299.23
ITEM00166,TXN00064,PROD0483,2,3261.29,0,6522.58
ITEM00167,TXN00064,PROD0384,1,4458.33,10,4012.5
ITEM00168,TXN00064,PROD0042,1,892.48,0,892.48
ITEM00169,TXN00065,PROD0266,2,4718.52,5,8965.19
ITEM00170,TXN00065,PROD0370,2,881.61,10,1586.9
ITEM00171,TXN00065,PROD0175,1,2584.51,10,2326.06
ITEM00172,TXN00066,PROD0174,2,2817.02,5,5352.34
ITEM00173,TXN00066,PROD0485,1,2698.19,15,2293.46
ITEM00174,TXN00066,PROD0348,3,4905.45,10,13244.71
ITEM00175,TXN00066,PROD0430,2,4419.53,0,8839.06
ITEM00176,TXN00067,PROD0088,3,2943.43,5,8388.78
ITEM00177,TXN00067,PROD0166,1,2862.99,10,2576.69
ITEM00178,TXN00067,PROD0319,2,3812.12,10,6861.82
ITEM00179,TXN00067,PROD0089,2,298.97,0,597.94
ITEM00180,TXN00068,PROD0275,3,3487.22,10,9415.49
ITEM00181,TXN00068,PROD0076,3,2497.74,0,7493.22
ITEM00182,TXN00068,PROD0350,2,3450.07,0,6900.14
ITEM00183,TXN00068,PROD0064,3,3248.92,10,8772.08
ITEM00184,TXN00068,PROD0454,1,3867.57,15,3287.43
ITEM00185,TXN00069,PROD0425,1,1629.99,0,1629.99
ITEM00186,TXN00070,PROD0358,3,2917.7,0,8753.1
ITEM00187,TXN00070,PROD0310,2,1826.93,15,3105.78
ITEM00188,TXN00071,PROD0291,2,3691.82,10,6645.28
ITEM00189,TXN00071,PROD0030,2,4941.31,0,9882.62
ITEM00190,TXN00071,PROD0238,3,2546.84,15,6494.44
ITEM00191,TXN00072,PROD0460,3,2589.57,10,6991.84
ITEM00192,TXN00073,PROD0498,1,4145.66,10,3731.09
ITEM00193,TXN00074,PROD0048,2,1434.31,10,2581.76
ITEM00194,TXN00074,PROD0420,3,4505.78,5,12841.47
ITEM00195,TXN00074,PROD0185,3,4914.92,0,14744.76
ITEM00196,TXN00074,PROD0467,3,4670.59,10,12610.59
ITEM00197,TXN00075,PROD0083,1,462.78,5,439.64
ITEM00198,TXN00075,PROD0148,3,2380.94,5,6785.68
ITEM00199,TXN00075,PROD0192,1,1542.77,0,1542.77
ITEM00200,TXN00075,PROD0054,3,961.85,10,2597.0
ITEM00201,TXN00076,PROD0133,2,2867.76,0,5735.52
ITEM00202,TXN00077,PROD0215,1,3506.81,5,3331.47
